Season,Division,Team,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result
2007,AFC West,OAK,5,@SDG,9.5,44,"L, 14-28",Lost,Under
2008,AFC West,OAK,9,CAR,9.5,37.5,"L, 6-17",Lost,Under
2012,AFC West,OAK,15,@CAR,9.5,47,"L, 6-17",Lost,Under
2022,AFC West,OAK,16,SFO,9.5,42.5,"L, 34-37",Won,Over
2006,AFC West,OAK,7,PIT,9,38.5,"W, 20-13",Won,Under
2006,AFC West,OAK,10,@KAN,9,36.5,"L, 13-17",Won,Under
2007,AFC West,OAK,16,SDG,9,42.5,"L, 17-30",Lost,Ove
2008,AFC West,OAK,11,@DEN,9,43.5,"W, 31-10",Won,Under
2008,AFC West,OAK,13,@SDG,9,41,"L, 7-34",Lost,Push
2013,AFC West,OAK,15,@SDG,9,50,"L, 13-26",Lost,Under
2014,AFC West,OAK,13,SFO,9,40.5,"W, 24-13",Won,Under
2022,AFC West,OAK,17,KAN,9,52.5,"L, 13-31",Lost,Under
2024,AFC West,OAK,2,@BAL,9,41.5,"W, 26-23",Won,Over
2004,AFC West,OAK,5,@IND,8.5,52,"L, 14-35",Lost,Under
2005,AFC West,OAK,3,@PHI,8.5,47,"L, 20-23",Won,Under
2009,AFC West,OAK,10,CIN,8.5,36,"W, 20-17",Won,Over
2019,AFC West,OAK,3,@MIN,8.5,43,"L, 14-34",Lost,Over
2006,AFC West,OAK,9,DEN,8,33.5,"L, 13-17",Won,Under
2008,AFC West,OAK,4,SDG,8,45.5,"L, 18-28",Lost,Over
2008,AFC West,OAK,7,@BAL,8,34.5,"L, 10-29",Lost,Over
2009,AFC West,OAK,4,@HOU,8,43,"L, 6-29",Lost,Under
2012,AFC West,OAK,11,@CIN,8,51,"L, 10-34",Lost,Under
2012,AFC West,OAK,16,@SDG,8,41.5,"L, 21-24",Won,Over
2013,AFC West,OAK,12,@DAL,8,49.5,"L, 24-31",Won,Over
2021,AFC West,OAK,16,@IND,8,45,"W, 23-20",Won,Under
2023,AFC West,OAK,2,@BUF,8,47,"L, 10-38",Lost,Over
2004,AFC West,OAK,13,@ATL,7.5,46,"L, 10-35",Lost,Under
2005,AFC West,OAK,1,@NWE,7.5,50,"L, 20-30",Lost,Push
2005,AFC West,OAK,16,NYG,7.5,44,"L, 21-30",Lost,Over
2006,AFC West,OAK,8,@SEA,7.5,36,"L, 0-16",Lost,Under
2012,AFC West,OAK,9,@BAL,7.5,47.5,"L, 20-55",Lost,Over
2013,AFC West,OAK,6,@KAN,7.5,41,"L, 7-24",Lost,Under
2014,AFC West,OAK,5,SDG,7.5,44,"L, 28-31",Won,Over
2019,AFC West,OAK,15,@LAC,7.5,45,"W, 24-17",Won,Under
2020,AFC West,OAK,10,KAN,7.5,56.5,"L, 31-35",Won,Over
2021,AFC West,OAK,11,@DAL,7.5,51.5,"W, 36-33",Won,Over
2024,AFC West,OAK,10,@MIA,7.5,43.5,"L, 19-34",Lost,Over
2003,AFC West,OAK,14,BAL,7,38,"W, 20-12",Won,Under
2006,AFC West,OAK,15,KAN,7,35.5,"L, 9-20",Lost,Under
2007,AFC West,OAK,7,@TEN,7,39,"L, 9-13",Won,Under
2008,AFC West,OAK,5,@NOR,7,47.5,"L, 3-34",Lost,Under
2008,AFC West,OAK,14,NWE,7,39.5,"L, 26-49",Lost,Over
2008,AFC West,OAK,15,HOU,7,43,"W, 27-16",Won,Push
2010,AFC West,OAK,5,SDG,7,44,"W, 35-27",Won,Over
2010,AFC West,OAK,6,@SFO,7,41,"L, 9-17",Lost,Under
2010,AFC West,OAK,7,@DEN,7,43,"W, 59-14",Won,Over
2010,AFC West,OAK,10,@PIT,7,41,"L, 3-35",Lost,Under
2011,AFC West,OAK,9,@SDG,7,48,"W, 24-17",Won,Under
2013,AFC West,OAK,9,@NYG,7,41.5,"L, 20-24",Won,Over
2014,AFC West,OAK,11,KAN,7,42.5,"W, 24-20",Won,Over
2015,AFC West,OAK,16,@KAN,7,43,"L, 17-23",Won,Under
2017,AFC West,OAK,10,NWE,7,55,"L, 8-33",Lost,Under
2017,AFC West,OAK,16,@LAC,7,43,"L, 10-30",Lost,Under
2019,AFC West,OAK,2,KAN,7,53.5,"L, 10-28",Lost,Under
2020,AFC West,OAK,3,@NWE,7,47,"L, 20-36",Lost,Over
2022,AFC West,OAK,5,@KAN,7,51.5,"L, 29-30",Won,Over
2023,AFC West,OAK,8,@DET,7,45.5,"L, 14-26",Lost,Under
2024,AFC West,OAK,7,@LAR,7,43.5,"L, 15-20",Won,Under
2024,AFC West,OAK,9,@CIN,7,45,"L, 24-41",Lost,Over
2010,AFC West,OAK,1,@TEN,6.5,40,"L, 13-38",Lost,Over
2011,AFC West,OAK,4,NWE,6.5,55.5,"L, 19-31",Lost,Under
2012,AFC West,OAK,4,@DEN,6.5,47,"L, 6-37",Lost,Under
2012,AFC West,OAK,10,NOR,6.5,56,"L, 17-38",Lost,Under
2014,AFC West,OAK,7,@CLE,6.5,44.5,"L, 13-23",Lost,Under
2014,AFC West,OAK,15,BUF,6.5,42,"W, 26-24",Won,Over
2015,AFC West,OAK,13,@DEN,6.5,43.5,"W, 15-12",Won,Under
2018,AFC West,OAK,1,LAR,6.5,47.5,"L, 13-33",Lost,Under
2019,AFC West,OAK,5,CHI,6.5,39.5,"W, 24-21",Won,Over
2024,AFC West,OAK,13,@TAM,6.5,47,"L, 13-28",Lost,Under
2024,AFC West,OAK,17,LAC,6.5,42,"L, 20-34",Lost,Over
2002,AFC West,OAK,9,@DEN,6,45.5,"W, 34-10",Won,Under
2003,AFC West,OAK,16,@SDG,6,46,"L, 14-21",Lost,Unde
2004,AFC West,OAK,8,@SDG,6,46,"L, 14-42",Lost,Over
2004,AFC West,OAK,9,@CAR,6,41,"W, 27-24",Won,Over
2005,AFC West,OAK,10,@WAS,6,42,"W, 16-13",Won,Under
2009,AFC West,OAK,7,NYJ,6,34,"L, 0-38",Lost,Over
2013,AFC West,OAK,14,KAN,6,44,"L, 31-56",Lost,Over
2014,AFC West,OAK,12,@STL,6,43,"L, 0-52",Lost,Over
2015,AFC West,OAK,2,BAL,6,43,"W, 37-33",Won,Over
2021,AFC West,OAK,2,@PIT,6,47,"W, 26-17",Won,Under
2024,AFC West,OAK,11,DEN,6,41,"L, 19-29",Lost,Over
2003,AFC West,OAK,3,@DEN,5.5,45,"L, 10-31",Lost,Under
2003,AFC West,OAK,13,@PIT,5.5,40.5,"L, 7-27",Lost,Under
2003,AFC West,OAK,15,GNB,5.5,44,"L, 7-41",Lost,Over
2010,AFC West,OAK,3,@ARI,5.5,39,"L, 23-24",Won,Over
2014,AFC West,OAK,1,@NYJ,5.5,40,"L, 14-19",Won,Under
2018,AFC West,OAK,2,@DEN,5.5,44,"L, 19-20",Won,Under
2019,AFC West,OAK,4,@IND,5.5,46,"W, 31-24",Won,Over
2019,AFC West,OAK,6,@GNB,5.5,48,"L, 24-42",Lost,Over
2019,AFC West,OAK,16,@DEN,5.5,41.5,"L, 15-16",Won,Under
2021,AFC West,OAK,18,@CIN,5.5,49,"L, 19-26",Lost,Under
2023,AFC West,OAK,4,@LAC,5.5,48.5,"L, 17-24",Lost,Under
2024,AFC West,OAK,14,ATL,5.5,44.5,"L, 9-15",Lost,Under
2013,AFC West,OAK,5,SDG,5,46,"W, 27-17",Won,Under
2018,AFC West,OAK,5,@LAC,5,52,"L, 10-26",Lost,Under
2019,AFC West,OAK,7,@HOU,5,52,"L, 24-27",Won,Under
2003,AFC West,OAK,7,KAN,4.5,47.5,"L, 10-17",Lost,Under
2003,AFC West,OAK,10,MIN,4.5,46,"W, 28-18",Won,Push
2004,AFC West,OAK,10,SDG,4.5,47.5,"L, 17-23",Lost,Under
2005,AFC West,OAK,8,@KAN,4.5,51.5,"L, 23-27",Won,Under
2007,AFC West,OAK,10,@MIN,4.5,35.5,"L, 22-29",Lost,Over
2010,AFC West,OAK,16,@KAN,4.5,43.5,"W, 31-10",Won,Under
2011,AFC West,OAK,5,@HOU,4.5,48.5,"W, 25-20",Won,Under
2015,AFC West,OAK,8,@PIT,4.5,48.5,"L, 35-38",Won,Over
2017,AFC West,OAK,13,@KAN,4.5,48.5,"L, 15-26",Lost,Under
2018,AFC West,OAK,10,@ARI,4.5,41,"W, 23-21",Won,Over
2002,AFC West,OAK,2,@PIT,4,39.5,"W, 30-17",Won,Over
2007,AFC West,OAK,11,@KAN,4,34.5,"W, 20-17",Won,Over
2011,AFC West,OAK,2,@BUF,4,41,"L, 35-38",Won,Over
2012,AFC West,OAK,3,PIT,4,45,"W, 34-31",Won,Over
2013,AFC West,OAK,4,WAS,4,45.5,"L, 14-24",Lost,Under
2015,AFC West,OAK,5,DEN,4,44,"L, 10-16",Lost,Under
2016,AFC West,OAK,17,@HOU,4,38,"L, 14-27",Lost,Over
2020,AFC West,OAK,2,NOR,4,47.5,"W, 34-24",Won,Over
2021,AFC West,OAK,1,BAL,4,50.5,"W, 33-27",Won,Over
2021,AFC West,OAK,6,@DEN,4,43.5,"W, 34-24",Won,Over
2022,AFC West,OAK,11,@SEA,4,47.5,"W, 40-34",Won,Over
2023,AFC West,OAK,16,@IND,4,42.5,"L, 20-23",Won,Over
2003,AFC West,OAK,1,@TEN,3.5,46,"L, 20-25",Lost,Under
2003,AFC West,OAK,6,@CLE,3.5,43.5,"L, 7-13",Lost,Under
2004,AFC West,OAK,1,@PIT,3.5,41.5,"L, 21-24",Won,Over
2006,AFC West,OAK,4,@SFO,3.5,39.5,"L, 20-34",Lost,Over
2007,AFC West,OAK,4,@MIA,3.5,40,"W, 35-17",Won,Over
2007,AFC West,OAK,9,CHI,3.5,38,"L, 6-17",Lost,Under
2008,AFC West,OAK,2,@KAN,3.5,36,"W, 23-8",Won,Under
2010,AFC West,OAK,4,HOU,3.5,44,"L, 24-31",Lost,Over
2010,AFC West,OAK,13,@JAX,3.5,41.5,"L, 31-38",Lost,Over
2014,AFC West,OAK,4,MIA,3.5,40.5,"L, 14-38",Lost,Over
2014,AFC West,OAK,6,ARI,3.5,46.5,"L, 13-24",Lost,Under
2015,AFC West,OAK,3,@CLE,3.5,42.5,"W, 27-20",Won,Over
2015,AFC West,OAK,6,@SDG,3.5,47,"W, 37-29",Won,Over
2016,AFC West,OAK,4,@BAL,3.5,45,"W, 28-27",Won,Over
2016,AFC West,OAK,13,@KAN,3.5,46,"L, 13-21",Lost,Under
2017,AFC West,OAK,4,@DEN,3.5,44,"L, 10-16",Lost,Under
2018,AFC West,OAK,7,IND,3.5,51,"L, 28-42",Lost,Over
2020,AFC West,OAK,6,TAM,3.5,51.5,"L, 20-45",Lost,Over
2022,AFC West,OAK,1,@LAC,3.5,52.5,"L, 19-24",Lost,Under
2003,AFC West,OAK,9,NYJ,3,38,"L, 24-27",Push,Over
2003,AFC West,OAK,12,DEN,3,42,"L, 8-22",Lost,Under
2006,AFC West,OAK,1,SDG,3,41.5,"L, 0-27",Lost,Under
2006,AFC West,OAK,6,ARI,3,40,"W, 22-9",Won,Under
2007,AFC West,OAK,12,DEN,3,41.5,"W, 34-20",Won,Over
2008,AFC West,OAK,1,DEN,3,40.5,"L, 14-41",Lost,Over
2008,AFC West,OAK,6,NYJ,3,41,"W, 16-13",Won,Under
2008,AFC West,OAK,8,ATL,3,41.5,"L, 0-24",Lost,Under
2009,AFC West,OAK,15,@CLE,3,37,"L, 9-23",Lost,Under
2011,AFC West,OAK,1,@DEN,3,42,"W, 23-20",Won,Over
2011,AFC West,OAK,3,NYJ,3,41,"W, 34-24",Won,Over
2011,AFC West,OAK,12,@MIA,3,43,"L, 14-34",Lost,Over
2011,AFC West,OAK,15,@KAN,3,43,"W, 16-13",Won,Under
2013,AFC West,OAK,13,@NYJ,3,39,"L, 27-37",Lost,Over
2014,AFC West,OAK,2,HOU,3,40,"L, 14-30",Lost,Over
2015,AFC West,OAK,1,CIN,3,43,"L, 13-33",Lost,Over
2015,AFC West,OAK,7,NYJ,3,44,"W, 34-20",Won,Over
2015,AFC West,OAK,12,KAN,3,44.5,"L, 20-34",Lost,Over
2015,AFC West,OAK,14,GNB,3,47,"L, 20-30",Lost,Over
2017,AFC West,OAK,7,KAN,3,46.5,"W, 31-30",Won,Over
2017,AFC West,OAK,14,DAL,3,46,"L, 17-20",Push,Under
2018,AFC West,OAK,3,@MIA,3,46,"L, 20-28",Lost,Over
2018,AFC West,OAK,6,SEA,3,48,"L, 3-27",Lost,Under
2018,AFC West,OAK,14,@CIN,3,46,"L, 16-30",Lost,Push
2019,AFC West,OAK,1,DEN,3,42.5,"W, 24-16",Won,Under
2019,AFC West,OAK,13,TEN,3,47,"L, 21-42",Lost,Over
2020,AFC West,OAK,4,BUF,3,53,"L, 23-30",Lost,Push
2020,AFC West,OAK,15,MIA,3,48,"L, 25-26",Won,Over
2021,AFC West,OAK,4,@LAC,3,52,"L, 14-28",Lost,Under
2021,AFC West,OAK,14,@CLE,3,41,"W, 16-14",Won,Under
2021,AFC West,OAK,17,LAC,3,49,"W, 35-32",Won,Over
2023,AFC West,OAK,1,@DEN,3,44,"W, 17-16",Won,Under
2023,AFC West,OAK,13,MIN,3,40,"L, 0-3",Push,Under
2024,AFC West,OAK,1,@LAC,3,40,"L, 10-22",Lost,Under
2024,AFC West,OAK,5,@DEN,3,35.5,"L, 18-34",Lost,Over
2024,AFC West,OAK,6,PIT,3,36.5,"L, 13-32",Lost,Over
2004,AFC West,OAK,6,DEN,2.5,42,"L, 3-31",Lost,Under
2004,AFC West,OAK,16,JAX,2.5,43,"L, 6-13",Lost,Under
2005,AFC West,OAK,9,DEN,2.5,47,"L, 17-31",Lost,Over
2006,AFC West,OAK,3,CLE,2.5,33.5,"L, 21-24",Lost,Over
2009,AFC West,OAK,3,DEN,2.5,38,"L, 3-23",Lost,Under
2009,AFC West,OAK,13,WAS,2.5,37.5,"L, 13-34",Lost,Over
2010,AFC West,OAK,15,IND,2.5,47.5,"L, 26-31",Lost,Over
2012,AFC West,OAK,12,CLE,2.5,39.5,"L, 17-20",Lost,Under
2013,AFC West,OAK,7,PIT,2.5,40,"W, 21-18",Won,Under
2016,AFC West,OAK,1,@NOR,2.5,50,"W, 35-34",Won,Over
2017,AFC West,OAK,1,@TEN,2.5,49.5,"W, 26-16",Won,Under
2018,AFC West,OAK,15,DEN,2.5,42.5,"W, 27-14",Won,Under
2020,AFC West,OAK,13,IND,2.5,52,"L, 27-44",Lost,Over
2021,AFC West,OAK,9,KAN,2.5,52,"L, 14-41",Lost,Over
2022,AFC West,OAK,10,@DEN,2.5,41,"W, 22-16",Won,Under
2024,AFC West,OAK,4,CLE,2.5,36.5,"W, 20-16",Won,Under
2011,AFC West,OAK,10,@MIN,2,46.5,"W, 27-21",Won,Over
2013,AFC West,OAK,11,TEN,2,42,"L, 19-23",Lost,Push
2016,AFC West,OAK,7,@JAX,2,47.5,"W, 33-16",Won,Over
2017,AFC West,OAK,8,@BUF,2,47,"L, 14-34",Lost,Over
2022,AFC West,OAK,15,@PIT,2,38,"L, 10-13",Lost,Under
2002,AFC West,OAK,14,@MIA,1.5,43.5,"L, 17-23",Lost,Under
2005,AFC West,OAK,2,KAN,1.5,53,"L, 17-23",Lost,Under
2009,AFC West,OAK,2,@KAN,1.5,40,"W, 13-10",Won,Under
2011,AFC West,OAK,14,DET,1.5,47.5,"L, 27-28",Won,Over
2023,AFC West,OAK,10,NYJ,1.5,35.5,"W, 16-12",Won,Under
2004,AFC West,OAK,12,KAN,1,52,"L, 27-34",Lost,Over
2012,AFC West,OAK,7,@KAN,1,42.5,"W, 26-16",Won,Under
2016,AFC West,OAK,6,KAN,1,46.5,"L, 10-26",Lost,Under
2016,AFC West,OAK,8,@TAM,1,48,"W, 30-24",Won,Over
2016,AFC West,OAK,16,@DEN,1,40,"L, 6-24",Lost,Under
2019,AFC West,OAK,9,LAC,1,49,"W, 26-24",Won,Over
2020,AFC West,OAK,7,@CLE,1,48,"W, 16-6",Won,Under
2021,AFC West,OAK,10,CIN,1,50.5,"L, 13-32",Lost,Under
2005,AFC West,OAK,5,SDG,0,50.5,"L, 14-27",Lost,Under
2010,AFC West,OAK,9,KAN,0,41,"W, 23-20",Won,Over
2021,AFC West,OAK,15,DEN,0,41,"W, 17-13",Won,Under
2012,AFC West,OAK,1,SDG,-1,47.5,"L, 14-22",Lost,Under
2012,AFC West,OAK,8,TAM,-1,47.5,"L, 32-42",Lost,Over
2013,AFC West,OAK,8,PHI,-1,45.5,"L, 20-49",Lost,Over
2015,AFC West,OAK,10,@DET,-1,49,"L, 13-18",Lost,Under
2015,AFC West,OAK,11,@TEN,-1,44,"W, 24-21",Won,Over
2016,AFC West,OAK,9,DEN,-1,44.5,"W, 30-20",Won,Over
2020,AFC West,OAK,8,@LAC,-1,52.5,"W, 31-26",Won,Over
2007,AFC West,OAK,6,KAN,-1.5,38,"L, 10-12",Lost,Under
2016,AFC West,OAK,3,@TEN,-1.5,47,"W, 17-10",Won,Under
2018,AFC West,OAK,8,@SFO,-1.5,44,"L, 3-34",Lost,Under
2021,AFC West,OAK,12,WAS,-1.5,48,"L, 15-17",Lost,Under
2022,AFC West,OAK,7,@NOR,-1.5,49.5,"L, 0-24",Lost,Under
2022,AFC West,OAK,14,NWE,-1.5,45,"W, 30-24",Won,Over
2023,AFC West,OAK,5,GNB,-1.5,44.5,"W, 17-13",Won,Under
2023,AFC West,OAK,9,NYG,-1.5,38.5,"W, 30-6",Won,Under
2024,AFC West,OAK,16,@NOR,-1.5,37.5,"W, 25-10",Won,Under
2004,AFC West,OAK,4,@HOU,-2,42,"L, 17-30",Lost,Over
2005,AFC West,OAK,7,@TEN,-2,46,"W, 34-25",Won,Over
2006,AFC West,OAK,14,STL,-2,39.5,"L, 0-20",Lost,Under
2010,AFC West,OAK,8,SEA,-2,40.5,"W, 33-3",Won,Under
2012,AFC West,OAK,2,@MIA,-2,41,"L, 13-35",Lost,Over
2022,AFC West,OAK,3,@TEN,-2,45.5,"L, 22-24",Lost,Over
2002,AFC West,OAK,7,@KAN,-2.5,55.5,"L, 10-20",Lost,Under
2007,AFC West,OAK,1,DET,-2.5,39.5,"L, 21-36",Lost,Over
2009,AFC West,OAK,9,KAN,-2.5,36,"L, 10-16",Lost,Under
2016,AFC West,OAK,14,@SDG,-2.5,49.5,"W, 19-16",Won,Under
2018,AFC West,OAK,4,CLE,-2.5,44.5,"W, 45-42",Won,Over
2019,AFC West,OAK,8,DET,-2.5,51.5,"W, 31-24",Won,Over
2020,AFC West,OAK,16,@DEN,-2.5,50.5,"W, 32-31",Lost,Over
2022,AFC West,OAK,4,DEN,-2.5,45.5,"W, 32-23",Won,Over
2022,AFC West,OAK,8,@JAX,-2.5,48,"L, 20-27",Lost,Under
2022,AFC West,OAK,12,LAC,-2.5,49.5,"W, 27-20",Won,Under
2023,AFC West,OAK,6,NWE,-2.5,42.5,"W, 21-17",Won,Under
2023,AFC West,OAK,7,@CHI,-2.5,38.5,"L, 12-30",Lost,Over
2024,AFC West,OAK,15,JAX,-2.5,41,"W, 19-14",Won,Under
2002,AFC West,OAK,4,@BUF,-3,53.5,"W, 49-31",Won,Over
2002,AFC West,OAK,8,SFO,-3,49.5,"L, 20-23",Lost,Under
2004,AFC West,OAK,3,TAM,-3,35.5,"W, 30-20",Won,Over
2004,AFC West,OAK,7,NOR,-3,45.5,"L, 26-31",Lost,Over
2005,AFC West,OAK,4,DAL,-3,46,"W, 19-13",Won,Under
2005,AFC West,OAK,6,BUF,-3,42,"W, 38-17",Won,Over
2005,AFC West,OAK,13,@NYJ,-3,37.5,"L, 10-26",Lost,Under
2005,AFC West,OAK,14,CLE,-3,40.5,"L, 7-9",Lost,Under
2007,AFC West,OAK,3,CLE,-3,41.5,"W, 26-24",Lost,Over
2007,AFC West,OAK,8,HOU,-3,41,"L, 17-24",Lost,Push
2010,AFC West,OAK,2,STL,-3,37.5,"W, 16-14",Lost,Under
2010,AFC West,OAK,11,MIA,-3,38,"L, 17-33",Lost,Over
2011,AFC West,OAK,11,CHI,-3,41,"W, 25-20",Won,Over
2011,AFC West,OAK,16,SDG,-3,48.5,"L, 26-38",Lost,Over
2015,AFC West,OAK,4,@CHI,-3,44,"L, 20-22",Lost,Under
2015,AFC West,OAK,9,MIN,-3,44,"L, 14-30",Lost,Push
2016,AFC West,OAK,12,BUF,-3,48.5,"W, 38-24",Won,Over
2017,AFC West,OAK,5,BAL,-3,40.5,"L, 17-30",Lost,Over
2017,AFC West,OAK,6,LAC,-3,48.5,"L, 16-17",Lost,Under
2017,AFC West,OAK,9,@MIA,-3,44.5,"W, 27-24",Push,Over
2020,AFC West,OAK,1,@CAR,-3,48,"W, 34-30",Won,Over
2021,AFC West,OAK,7,PHI,-3,48.5,"W, 33-22",Won,Over
2021,AFC West,OAK,8,@NYG,-3,46.5,"L, 16-23",Lost,Under
2023,AFC West,OAK,3,PIT,-3,43.5,"L, 18-23",Lost,Under
2023,AFC West,OAK,14,LAC,-3,34,"W, 63-21",Won,Over
2023,AFC West,OAK,17,DEN,-3,37,"W, 27-14",Won,Over
2002,AFC West,OAK,13,@SDG,-3.5,45.5,"W, 27-7",Won,Under
2002,AFC West,OAK,15,DEN,-3.5,46.5,"W, 28-16",Won,Under
2002,AFC West,OAK,19,TAM,-3.5,44,"L, 21-48",Lost,Over
2003,AFC West,OAK,5,@CHI,-3.5,43.5,"L, 21-24",Lost,Over
2003,AFC West,OAK,8,@DET,-3.5,39.5,"L, 13-23",Lost,Under
2004,AFC West,OAK,2,BUF,-3.5,37.5,"W, 13-10",Lost,Under
2004,AFC West,OAK,14,TEN,-3.5,49.5,"W, 40-35",Won,Over
2006,AFC West,OAK,12,HOU,-3.5,35.5,"L, 14-23",Lost,Over
2008,AFC West,OAK,12,KAN,-3.5,41.5,"L, 13-20",Lost,Under
2011,AFC West,OAK,7,KAN,-3.5,41.5,"L, 0-28",Lost,Under
2016,AFC West,OAK,5,SDG,-3.5,50.5,"W, 34-31",Lost,Over
2016,AFC West,OAK,11,CAR,-3.5,48.5,"W, 35-32",Lost,Over
2016,AFC West,OAK,15,IND,-3.5,52,"W, 33-25",Won,Over
2017,AFC West,OAK,3,@WAS,-3.5,53.5,"L, 10-27",Lost,Under
2017,AFC West,OAK,11,DEN,-3.5,41,"W, 21-14",Won,Under
2019,AFC West,OAK,11,@NYJ,-3.5,45,"L, 3-34",Lost,Under
2020,AFC West,OAK,9,DEN,-3.5,50,"W, 37-12",Won,Under
2020,AFC West,OAK,11,@ATL,-3.5,53,"L, 6-43",Lost,Under
2020,AFC West,OAK,14,LAC,-3.5,52.5,"L, 27-30",Lost,Over
2016,AFC West,OAK,2,ATL,-4,47.5,"L, 28-35",Lost,Over
2021,AFC West,OAK,3,MIA,-4,44,"W, 31-28",Lost,Over
2022,AFC West,OAK,9,IND,-4,41,"L, 20-25",Lost,Over
2002,AFC West,OAK,10,NWE,-4.5,48,"W, 27-20",Won,Under
2012,AFC West,OAK,14,KAN,-4.5,44,"W, 15-0",Won,Under
2013,AFC West,OAK,2,JAX,-5,40.5,"W, 19-9",Won,Under
2002,AFC West,OAK,17,NYJ,-5.5,47,"W, 30-10",Won,Under
2021,AFC West,OAK,5,CHI,-5.5,45.5,"L, 9-20",Lost,Under
2022,AFC West,OAK,2,ARI,-5.5,51.5,"L, 23-29",Lost,Over
2024,AFC West,OAK,3,CAR,-5.5,40,"L, 22-36",Lost,Over
2002,AFC West,OAK,12,NYJ,-6,47.5,"W, 26-20",Push,Under
2012,AFC West,OAK,6,JAX,-6,44,"W, 26-23",Lost,Over
2015,AFC West,OAK,15,SDG,-6,46.5,"W, 23-20",Lost,Under
2022,AFC West,OAK,13,@LAR,-6,44.5,"L, 16-17",Lost,Under
2002,AFC West,OAK,3,TEN,-6.5,45,"W, 52-25",Won,Over
2011,AFC West,OAK,6,CLE,-6.5,45,"W, 24-17",Won,Under
2016,AFC West,OAK,10,HOU,-6.5,45.5,"W, 27-20",Won,Over
2002,AFC West,OAK,5,@STL,-7,49,"L, 13-28",Lost,Under
2002,AFC West,OAK,6,SDG,-7,47,"L, 21-27",Lost,Over
2003,AFC West,OAK,4,SDG,-7,41.5,"W, 34-31",Lost,Over
2005,AFC West,OAK,11,MIA,-7,42.5,"L, 21-33",Lost,Over
2019,AFC West,OAK,14,JAX,-7,47,"L, 16-20",Lost,Under
2022,AFC West,OAK,6,HOU,-7,46,"W, 38-20",Won,Over
2002,AFC West,OAK,1,SEA,-7.5,40,"W, 31-17",Won,Over
2011,AFC West,OAK,8,DEN,-7.5,42.5,"L, 24-38",Lost,Over
2020,AFC West,OAK,12,@NYJ,-7.5,48.5,"W, 31-28",Lost,Over
2010,AFC West,OAK,14,DEN,-8,42,"W, 39-23",Won,Over
2002,AFC West,OAK,16,KAN,-8.5,44.5,"W, 24-0",Won,Under
2002,AFC West,OAK,18,TEN,-9,46,"W, 41-24",Won,Over
2002,AFC West,OAK,11,@ARI,-9.5,44,"W, 41-20",Won,Over
2017,AFC West,OAK,12,NYG,-10,43,"W, 24-17",Lost,Under
2003,AFC West,OAK,2,CIN,-12,45,"W, 23-20",Lost,Under
2019,AFC West,OAK,10,CIN,-13,48,"W, 17-10",Lost,Under
2017,AFC West,OAK,2,NYJ,-14,44,"W, 45-20",Won,Over
2020,NFC East,DAL,9,PIT,14,44,"L, 19-24",Won,Under
2010,NFC East,DAL,9,@NYG,12.5,46.5,"W, 33-20",Won,Over
2002,NFC East,DAL,4,@STL,12,44,"W, 13-10",Won,Under
2004,NFC East,DAL,14,@PHI,11.5,45,"L, 7-12",Won,Under
2024,NFC East,DAL,11,@WAS,10.5,45,"W, 34-26",Won,Over
2020,NFC East,DAL,8,@PHI,10.5,43,"L, 9-23",Lost,Under
2002,NFC East,DAL,3,@PHI,10,36.5,"L, 13-44",Lost,Over
2014,NFC East,DAL,6,@SEA,9.5,47,"W, 30-23",Won,Over
2015,NFC East,DAL,5,NWE,9,49.5,"L, 6-30",Lost,Under
2013,NFC East,DAL,5,DEN,9,56,"L, 48-51",Won,Over
2007,NFC East,DAL,16,@WAS,9,39.5,"L, 6-27",Lost,Under
2021,NFC East,DAL,1,@TAM,8.5,52,"L, 29-31",Won,Over
2008,NFC East,DAL,9,@NYG,8.5,42,"L, 14-35",Lost,Over
2024,NFC East,DAL,16,@PHI,8,37.5,"L, 7-41",Lost,Over
2020,NFC East,DAL,12,@BAL,8,45.5,"L, 17-34",Lost,Over
2024,NFC East,DAL,9,PHI,7.5,43.5,"L, 6-34",Lost,Under
2018,NFC East,DAL,9,@PHI,7.5,45.5,"W, 27-20",Won,Over
2018,NFC East,DAL,12,NOR,7.5,51.5,"W, 13-10",Won,Under
2018,NFC East,DAL,16,@NYG,7.5,38.5,"W, 36-35",Won,Over
2018,NFC East,DAL,18,@LAR,7.5,48,"L, 22-30",Lost,Over
2009,NFC East,DAL,14,@NOR,7.5,53.5,"W, 24-17",Won,Under
2004,NFC East,DAL,10,@BAL,7.5,36,"L, 10-30",Lost,Over
2003,NFC East,DAL,2,@NYG,7.5,36.5,"W, 35-32",Won,Over
2002,NFC East,DAL,16,@WAS,7.5,36.5,"L, 14-20",Won,Under
2024,NFC East,DAL,10,HOU,7,41,"L, 10-34",Lost,Over
2022,NFC East,DAL,2,CIN,7,42,"W, 20-17",Won,Under
2020,NFC East,DAL,10,@MIN,7,49.5,"W, 31-28",Won,Over
2013,NFC East,DAL,16,PHI,7,54,"L, 22-24",Won,Under
2011,NFC East,DAL,5,@NWE,7,54.5,"L, 16-20",Won,Under
2010,NFC East,DAL,8,@GNB,7,45.5,"L, 7-45",Lost,Over
2004,NFC East,DAL,9,PHI,7,43,"L, 21-49",Lost,Over
2004,NFC East,DAL,12,@SEA,7,42,"W, 43-39",Won,Over
